# Serious Injuries,# Visible Injuries,Agency Name (Crash Level) ,Date,Intersection Name (from Crash Report),KABCO Severity,Light Conditions (Crash Level),Location at Impact (Crash Level) ,Manner of Collision (Crash Level) ,Roadway (From Crash Report),Surface Condition (Crash Level) ,Time,Safety Equipment (Crash Level) ,Weather Conditions (Crash Level),# of Fatalities per Crash,Latitude,Longitude,Geolocated City,Geolocated County,Vehicle Condition (excluding No Known Defects),First Harmful Event (Unit Order),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",Most Harmful Event (Crash Level),crash_mode
0.0,0.0,Atlanta Police Department,2021-01-01,Hosea L Williams Dr Ne and Hutchinson St Ne  Hosea L Williams Dr Ne,(O) No Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Angle Crash,Hutchinson St Ne  Hosea L Williams Dr Ne,Wet,21:49:00,None Used,Rain,0.0,33.753424,-84.340736,Atlanta,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-01-17,Brookdale Pl and Briarcliff Rd,(O) No Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Brookdale Pl,Dry,19:20:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.805384,-84.26447,Unincorporated,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,Pedestrian,Pedestrian
0.0,0.0,Atlanta Police Department,2021-01-24,Mclendon Ave Ne and Candler Park Dr Ne  Mclendon Ave Ne,(O) No Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Candler Park Dr Ne  Mclendon Ave Ne,Dry,19:17:00,Lap and Shoulder Belt Used,Clear,0.0,33.764863,-84.340016,Atlanta,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-01-25,Glenwood Road and Pinedale Place,(K) Fatal Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Glenwood Road,Dry,14:24:00,"[""None Used"",""Unknown""]",Clear,1.0,33.737971,-84.253393,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Failure to Yield,Pedestrian,Pedestrian
1.0,0.0,Dekalb Co Police Department,2021-02-11,Redan Rd and Covington Hwy,(A) Suspected Serious Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Wet,20:27:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Rain,0.0,33.758749,-84.240357,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-02-14,Oxford Rd and N Decatur Rd,(C) Possible Injury / Complaint,Daylight,On Roadway - Roundabout,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,17:59:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.788307,-84.325414,Atlanta,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-02-17,Midway Rd and Covington Hwy,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Dry,17:01:00,"[""Unknown"",""None Used""]",Clear,0.0,33.764996,-84.251324,Unincorporated,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Disregard Police - Traffic Control"",""Reckless Driving"",""Inattentive or Other Distraction (Distracted)""]",Pedestrian,Pedestrian
0.0,0.0,Decatur Police Department,2021-02-22,Swanton Way and Commerce Dr,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Commerce Dr,Dry,15:53:00,Unknown,Clear,0.0,33.77459,-84.298891,Decatur,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-03-05,I 285 and 285 On From Memorial Dr Rp,(K) Fatal Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,285 On From Memorial Dr Rp,Dry,05:38:00,"[""None Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]",Clear,1.0,33.777065,-84.240825,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-03-17,N Decatur Rd and Dekalb Industrial Way,(O) No Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Dekalb Industrial Way,Water (standing or moving),12:50:00,None Used,Rain,0.0,33.792557,-84.276231,Unincorporated,DEKALB,,"[""Pedestrian"",""Pedestrian""]",,Motor Vehicle in Motion,Pedestrian
0.0,0.0,Clarkston Police Department,2021-03-23,Church and N Indian Creek Dr,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Roadway Intersection,Angle Crash,Church,Dry,21:40:00,"[""Unknown"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.806532,-84.241357,Clarkston,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Disregard Stop Sign/Signal,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2021-03-31,Glenwood Rd and Columbia Dr,(A) Suspected Serious Injury,Dark-Lighted,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Columbia Dr,Dry,06:59:00,"[""Unknown"",""Unknown""]",Clear,0.0,33.737881,-84.251992,Unincorporated,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,Pedestrian,Pedestrian
1.0,0.0,Atlanta Police Department,2021-04-01,I- 20 and Fayetteville Rd Se,(A) Suspected Serious Injury,Dark-Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,I- 20,Dry,01:06:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.72458,-84.324177,Atlanta,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Under the Influence (U.I.)"",""Failure to Yield""]",Pedestrian,Pedestrian
0.0,1.0,Dekalb Co Police Department,2021-04-12,N Decatur Rd and Clairmont Cir,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,13:36:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.790859,-84.30111,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-04-12,Memorial Dr and Covington Hwy,(O) No Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Covington Hwy,Dry,09:40:00,"[""Lap and Shoulder Belt Used"",""None Used""]",Clear,0.0,33.768668,-84.25158,Unincorporated,DEKALB,,"[""Pedestrian"",""Pedestrian""]",Failure to Yield,Pedestrian,Pedestrian
1.0,1.0,Decatur Police Department,2021-04-17,Leyden St and Cambridge Ave,(A) Suspected Serious Injury,Dark-Lighted,Off Roadway - Sidewalk,Not a Collision with Motor Vehicle,Leyden St,Dry,21:02:00,Lap and Shoulder Belt Used,Clear,0.0,33.76159,-84.306924,Decatur,DEKALB,Tire Failure,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Too Fast for Conditions"",""Driver Lost Control""]",Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-04-17,Redan Rd and Covington Hwy,(O) No Injury,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Dry,01:30:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.759381,-84.241031,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Inattentive or Other Distraction (Distracted),Pedestrian,Pedestrian
0.0,1.0,Dekalb Co Police Department,2021-04-23,Oxford Rd and N Decatur Rd,(B) Suspected Minor/Visible Injury,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Oxford Rd,Dry,23:16:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.788928,-84.326761,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,0.0,Decatur Police Department,2021-05-19,Candler Dr and S Candler St,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Candler Dr,Dry,19:00:00,Unknown,Clear,0.0,33.754512,-84.291395,Decatur,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Misjudged Clearance,Pedestrian,Pedestrian
0.0,1.0,Dekalb Co Police Department,2021-05-29,Columbia Dr and Glenwood Rd,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Glenwood Rd,Dry,17:45:00,"[""None Used"",""Unknown""]",Clear,0.0,33.737842,-84.247309,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-05-30,Rupert Rd and Memorial Dr,(O) No Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Memorial Dr,Dry,16:00:00,"[""Unknown"",""None Used""]",Clear,0.0,33.750713,-84.274673,Unincorporated,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,Pedestrian,Pedestrian
1.0,0.0,Decatur Police Department,2021-06-01,Scott Blvd and Nelson Ferry Rd,(A) Suspected Serious Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Scott Blvd,Dry,17:39:00,Lap and Shoulder Belt Used,Cloudy,0.0,33.776287,-84.311281,Decatur,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,Pedestrian,Pedestrian
0.0,0.0,Dekalb Co Police Department,2021-06-13,Memorial Dr and Kensington Rd,(K) Fatal Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Memorial Dr,Dry,23:19:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,1.0,33.770904,-84.250127,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
1.0,0.0,Dekalb Co Police Department,2021-06-13,Midway Rd and Covington Dr,(A) Suspected Serious Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Dr,Dry,23:00:00,"[""None Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.761554,-84.254128,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,0.0,Decatur Police Department,2021-06-18,E Howard Ave and E Trinity Pl,(O) No Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,E Trinity Pl,Dry,18:03:00,Lap and Shoulder Belt Used,Cloudy,0.0,33.771764,-84.293205,Decatur,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,Pedestrian,Pedestrian
0.0,1.0,Dekalb Co Police Department,2021-06-27,Candler Rd and Raleigh Rucker Way,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Candler Rd,Dry,15:50:00,"[""None Used"",""Unknown"",""Unknown""]",Clear,0.0,33.728121,-84.280379,Unincorporated,DEKALB,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Failure to Yield,Pedestrian,Pedestrian
0.0,1.0,Dekalb Co Police Department,2021-07-02,Covington Dr and Near Midway Rd,(B) Suspected Minor/Visible Injury,Dark-Lighted,On Shoulder,Not a Collision with Motor Vehicle,Covington Dr,Dry,23:40:00,None Used,Clear,0.0,33.761502,-84.253803,Unincorporated,DEKALB,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,Pedestrian,Pedestrian
