stop_id,stop_name,stop_lat,stop_lon,access_category,access_category_v2,pedestrian_access_score,pas_v2,detour_factor,reach_ratio_5,reach_ratio_10,area_5min_m2,area_10min_m2,intersection_density_km2,dead_end_ratio,circuity,avg_street_len_m,snap_dist_m,pop_5min_crowflies,pop_5min_network,pop_10min_network,access_gap_pct,transit_share,gtfs_routes,gtfs_trips,crashes_200m,crashes_per_1k_10min,pipeline,suppressed_demand,priority_score
908566,EAST LAKE STATION,33.7652,-84.3129,Good,Good,85.0,78.0,1.5199,0.3758,0.3096,204952.1848,675353.7021,643.0782,0.169,1.3388,43.3474,15.0845,1173.143,362.4304,1565.7288,0.6911,0.0043,1,697,0,0.0,none,0.0028,0.1606
908567,EAST LAKE STATION,33.7652,-84.3134,Good,Good,85.0,75.0,1.5231,0.339,0.3031,184908.3358,661332.3115,634.4509,0.1765,1.0276,34.2189,29.1732,1138.7424,334.4489,1520.0116,0.7063,0.0043,1,687,0,0.0,none,0.0031,0.1782
908475,DECATUR STATION,33.7747,-84.2954,Good,Good,85.0,85.3,1.3767,0.4911,0.5185,267855.9162,1131176.1525,1035.2606,0.2815,1.0814,25.9909,17.2557,1546.0475,730.9431,3009.4697,0.5272,0.0289,1,687,3,0.9969,none,0.0388,0.1359
908476,EDGEWOOD-CANDLER PARK STATION,33.7618,-84.3408,Good,Good,85.0,78.9,1.3893,0.4259,0.4671,232308.5082,1018955.1794,817.6034,0.17,1.0524,28.2181,46.6,1376.2058,620.0523,2551.0267,0.5494,0.0172,2,852,0,0.0,none,0.0221,0.1908
908699,EDGEWOOD-CANDLER PARK STATION,33.7619,-84.3405,Good,Good,85.0,78.0,1.3344,0.3815,0.4723,208096.7759,1030496.4059,908.0452,0.1675,1.0687,25.2692,27.5867,1365.7923,535.6994,2549.2528,0.6078,0.0172,2,862,0,0.0,none,0.0223,0.1925
908700,DECATUR STATION,33.7747,-84.2953,Good,Good,85.0,84.9,1.3767,0.4911,0.5185,267855.9162,1131176.1525,1035.2606,0.2815,1.0814,25.9909,26.4622,1541.2685,730.9431,3009.4697,0.5258,0.0289,1,697,3,0.9969,none,0.0399,0.1396
908709,KENSINGTON STATION,33.7728,-84.2522,Moderate,Good,45.0,73.1,1.4708,0.3607,0.3318,196717.0971,723964.9097,682.3193,0.121,1.0409,42.0762,11.8219,734.0726,256.257,967.2783,0.6509,0.0857,1,687,0,0.0,planned,0.0601,0.0
908634,KENSINGTON STATION,33.7726,-84.2516,Moderate,Moderate,45.0,66.8,1.4745,0.3711,0.355,202392.821,774465.4649,693.4221,0.1333,1.0444,42.097,10.5855,717.038,261.2323,1045.3048,0.6357,0.0857,1,697,0,0.0,planned,0.0929,0.0
908438,AVONDALE STATION,33.7756,-84.2815,Moderate,Moderate,45.0,69.2,1.3986,0.3579,0.4495,195206.6781,980627.3796,483.6132,0.0928,1.0768,40.8792,19.2554,1029.7306,406.014,1784.529,0.6057,0.0289,1,697,3,1.6811,none,0.0674,0.2361
908691,AVONDALE STATION,33.7752,-84.2825,Moderate,Moderate,45.0,68.7,1.2666,0.4836,0.4941,263776.9869,1077898.3723,515.6599,0.1316,1.0674,38.5476,19.3119,1089.2366,564.9939,1965.6571,0.4813,0.0289,1,687,2,1.0175,none,0.0592,0.2073
900586,LAVISTA RD NE @ CITADEL DR NE,33.8173,-84.3485,Good,Moderate,73.2,63.8,1.2467,0.3728,0.3286,203351.7721,716947.6773,859.7549,0.0448,1.1064,29.1204,10.9306,1008.6487,412.6432,1458.8788,0.5909,0.0732,1,525,0,0.0,none,0.1175,0.1768
900587,LAVISTA RD NE @ CHESHIRE BRIDGE RD,33.8179,-84.3497,Good,Moderate,71.2,65.1,1.3018,0.4823,0.4001,263045.8795,872901.6545,1106.4662,0.0596,1.1206,27.9558,2.1715,1160.6583,586.9335,1831.8337,0.4943,0.0732,1,513,0,0.0,none,0.1633,0.2458
902270,BRIARCLIFF RD NE @ 2195,33.8173,-84.3351,Moderate,Moderate,41.7,56.4,1.2263,0.4002,0.3227,218295.7931,704010.5236,620.3318,0.1818,1.261,37.1423,10.9956,1070.4284,431.7999,1208.73,0.5966,0.053,1,267,1,0.8273,none,0.0765,0.1517
902312,BRIARCLIFF RD NE @ SHEFFIELD DR NE,33.8198,-84.3349,Moderate,Poor,44.8,36.2,1.1366,0.4166,0.3427,227222.9572,747678.7721,315.2986,0.2333,1.2606,44.7184,17.2962,716.1025,317.7722,1283.0969,0.5562,0.0418,1,267,1,0.7794,none,0.0461,0.1006
