route_id,route_short_name,route_name,area,length_mi,n_stops,stops_per_mi,weekday_trips,revenue_hrs,center_lat,center_lon,period,headway_mean,headway_median,headway_std,headway_min,headway_max,headway_count,headway_cv
26903,1,Joseph E. Lowery Blvd / 17th St,JOSEPH E LOWERY BLVD NW @ NEAL ST NW,6.02,68,11.3,116,54.7,33.7672261764706,-84.41265564705883,post,20.0,20.0,0.0,20.0,20.0,114,0.0
26904,2,Donald Lee Hollowell/Ponce de Leon,DONALD L HOLLOWELL PKWY @ JOSEPH E LOWERY BLVD,10.77,137,12.7,216,144.7,33.773714,-84.41698594890511,post,14.6,10.0,5.5,7.0,30.0,166,0.38
26905,3,Martin Luther King Jr Drive,HAMILTON E HOLMES DR @ HARVEL DR NW,12.08,191,15.8,77,67.2,33.75879232984293,-84.4636324921466,post,40.2,30.0,14.3,30.0,61.0,56,0.36
26906,4,Moreland Avenue,MORELAND AVE SE @ VILLAGE CREEK LNDG,6.24,76,12.2,79,28.5,33.72268007894737,-84.35166705263158,post,30.0,30.0,1.9,24.0,35.0,77,0.06
26907,5,Piedmont Rd / Sandy Springs,ROSWELL RD NE @ MYSTIC PL NE,9.5,99,10.4,123,82.2,33.882096363636364,-84.37490987878789,post,20.0,20.0,0.8,15.0,25.0,121,0.04
26908,7,Boulevard / McDonough Boulevard,HILL ST SE @ WOODWARD AVE SE,14.67,157,10.7,80,91.7,33.74455954140127,-84.37377868789808,post,30.0,30.0,0.0,30.0,30.0,78,0.0
26909,10,AUC / Hollywood Road,W LAKE AVE NW @ CARLISLE ST NW,11.27,156,13.8,79,68.2,33.76602075,-84.43596556410256,post,30.0,30.0,2.2,21.0,41.0,77,0.07
26910,11,Defoor Avenue / Virginia Highland,N HIGHLAND AVE @ MORNINGSIDE DR,12.6,175,13.9,77,82.7,33.79579976,-84.36559014285714,post,30.0,30.0,3.0,13.0,42.0,75,0.1
26911,12,Howell Mill Road,HOWELL MILL RD NW @ NORTHCLIFFE DR,10.11,86,8.5,78,57.0,33.81768412790698,-84.42017299999999,post,29.9,30.0,2.2,23.0,38.0,76,0.07
26912,14,Blandtown / Hightower Road,ELLSWORTH INDUSTRIAL BLVD @ 1320,11.41,145,12.7,80,57.2,33.791520227586204,-84.44686859310345,post,30.0,30.0,0.8,25.0,35.0,78,0.03
26913,15,Clifton Road / Candler Road,S CANDLER ST @ E DOUGHERTY ST,12.91,181,14.0,150,149.3,33.76590038674033,-84.30391655801104,post,15.7,15.0,2.6,6.0,29.0,148,0.17
26914,17,Clairmont Rd / North Druid Hills Rd,CLAIRMONT RD @ MCCONNELL DR,8.85,92,10.4,79,50.4,33.81077480434784,-84.31708770652172,post,29.9,30.0,2.3,21.0,41.0,77,0.08
26915,20,South DeKalb / Downtown Atlanta,CANDLER RD @ H F SHEPHERD DR,13.34,76,5.7,140,72.0,33.72109859210526,-84.28625935526316,post,20.4,15.0,7.7,4.0,45.0,114,0.38
26916,21,Memorial Drive ITP,MEMORIAL DR @ PALATKA ST SE,11.64,123,10.6,75,51.8,33.7489413902439,-84.32192984552847,post,31.2,30.0,3.8,25.0,41.0,73,0.12
26917,22,Glenwood,GLENWOOD AVE SE @ QUILLIAN AVE,15.12,161,10.6,78,69.7,33.74335452795031,-84.29681259006212,post,31.2,30.0,3.8,24.0,43.0,76,0.12
26918,23,Peachtree Road / Buckhead,PEACHTREE RD @ HIGHLAND DR,10.75,126,11.7,120,91.2,33.83908407142857,-84.36537723015873,post,26.6,20.0,9.6,20.0,48.0,88,0.36
26919,26,James Jackson Pkwy / Perry Blvd,JAMES JACKSON PKWY @ CREEKSIDE DR NW,10.02,127,12.7,82,49.0,33.78876720472441,-84.46362680314962,post,30.0,30.0,1.0,25.0,34.0,80,0.03
26920,32,Bouldercrest Road,BOULDERCREST RD SE @ CLIFTON CHURCH RD SE,13.45,140,10.4,59,39.1,33.70050612142857,-84.30561819285714,post,40.0,40.0,1.5,35.0,46.0,57,0.04
26921,34,2nd Avenue / Clifton Springs Road,2ND AVE @ TILSON RD,9.11,116,12.7,58,31.0,33.719030224137924,-84.29917267241379,post,40.0,40.0,2.0,34.0,52.0,56,0.05
