route_id,route_short_name,route_name,area,length_mi,n_stops,stops_per_mi,weekday_trips,revenue_hrs,center_lat,center_lon,period,headway_mean,headway_median,headway_std,headway_min,headway_max,headway_count,headway_cv
27323,1,Marietta Blvd/Joseph E Lowery Blvd,JOSEPH E LOWERY BLVD @ WHEELER ST,7.11,74,10.4,56,30.5,33.77591828378379,-84.42541533783783,pre,40.1,40.0,1.2,35.0,45.0,54,0.03
27324,2,Ponce de Leon Avenue / Druid Hills,PONCE DE LEON AVE NE @ N HIGHLAND AVE NE,4.64,54,11.6,79,29.4,33.77250477777778,-84.35193551851852,pre,30.0,30.0,0.0,30.0,30.0,77,0.0
27325,3,Martin Luther King Jr Dr/Auburn Ave,MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,6.44,93,14.5,51,29.4,33.75351508602151,-84.41823822580646,pre,45.1,45.0,1.3,41.0,53.0,49,0.03
27326,4,Moreland Avenue,MORELAND AVE @ 1475,6.47,107,16.5,62,24.6,33.71389549532711,-84.35276180373832,pre,53.1,40.0,19.1,35.0,85.0,45,0.36
27327,5,Piedmont Road / Sandy Springs,ROSWELL RD NE @ WINDSOR PKWY NE,9.5,98,10.3,137,97.6,33.88039404081633,-84.37494488775509,pre,17.9,20.0,2.7,12.0,29.0,135,0.15
27328,6,Clifton Road / Emory,BRIARCLIFF RD NE @ N DECATUR RD NE,8.42,121,14.4,65,39.3,33.79647073553719,-84.34117138842977,pre,38.5,40.0,9.4,15.0,51.0,57,0.24
27329,8,North Druid Hills Road,N DRUID HILLS RD @ N CROSSING WAY,10.83,116,10.7,41,33.3,33.81028076724138,-84.29252727586206,pre,53.5,60.0,7.9,36.0,65.0,39,0.15
27330,9,Boulevard / Tilson Road,BRANNEN RD SE @ CECILIA DR SE,10.14,113,11.1,57,43.8,33.722185973451325,-84.32428413274334,pre,40.0,40.0,1.2,34.0,46.0,55,0.03
27331,12,Howell Mill Road / Cumberland,HOWELL MILL RD NW @ NORTHCLIFFE DR,10.11,86,8.5,91,71.9,33.81768620930233,-84.42016318604651,pre,25.3,30.0,5.3,14.0,35.0,89,0.21
27332,14,14th Street / Blandtown,ELLSWORTH INDUSTRIAL BLVD @ 1611,5.69,66,11.6,58,25.2,33.797014454545454,-84.4217500151515,pre,40.0,40.0,1.3,35.0,47.0,56,0.03
