route_short_name,route_name,trips_pre,revhrs_pre,hw_mean_pre,hw_std_pre,trips_post,revhrs_post,hw_mean_post,hw_std_post,hw_change,trips_change,revhrs_change
1,Marietta Blvd/Joseph E Lowery Blvd,56,30.5,40.1,1.2,116,54.7,20.0,0.0,-20.1,60,24.2
2,Ponce de Leon Avenue / Druid Hills,79,29.4,30.0,0.0,216,144.7,14.6,5.5,-15.4,137,115.3
3,Martin Luther King Jr Dr/Auburn Ave,51,29.4,45.1,1.3,77,67.2,40.2,14.3,-4.9,26,37.8
4,Moreland Avenue,62,24.6,53.1,19.1,79,28.5,30.0,1.9,-23.1,17,3.9
5,Piedmont Road / Sandy Springs,137,97.6,17.9,2.7,123,82.2,20.0,0.8,2.1,-14,-15.4
12,Howell Mill Road / Cumberland,91,71.9,25.3,5.3,78,57.0,29.9,2.2,4.6,-13,-14.9
14,14th Street / Blandtown,58,25.2,40.0,1.3,80,57.2,30.0,0.8,-10.0,22,32.0
15,Candler Road,132,96.9,23.4,9.0,150,149.3,15.7,2.6,-7.7,18,52.4
21,Memorial Drive,75,60.2,30.0,1.6,75,51.8,31.2,3.8,1.2,0,-8.4
26,Marietta Street / Perry Boulevard,53,47.3,45.0,1.9,82,49.0,30.0,1.0,-15.0,29,1.7
32,Bouldercrest,67,44.8,35.2,5.4,59,39.1,40.0,1.5,4.8,-8,-5.7
34,Gresham Road,60,31.6,40.0,2.1,58,31.0,40.0,2.0,0.0,-2,-0.6
39,Buford Highway,139,90.8,17.8,2.5,156,101.8,15.8,1.8,-2.0,17,11.0
42,Pryor Road,67,36.7,35.8,5.2,80,40.9,29.9,0.8,-5.9,13,4.2
49,McDonough Boulevard,91,53.6,24.9,5.2,113,69.9,20.1,0.9,-4.8,22,16.3
51,Joseph E Boone Boulevard,95,50.1,25.4,4.9,124,87.4,20.0,1.2,-5.4,29,37.3
55,Jonesboro Road,94,74.1,24.7,5.2,92,69.9,25.1,4.9,0.4,-2,-4.2
66,Lynhurst Drive / Princeton Lakes,59,50.7,39.9,1.4,60,27.4,40.0,1.3,0.1,1,-23.3
68,Benjamin E Mays Drive,58,45.9,40.0,0.0,38,12.0,60.0,0.4,20.0,-20,-33.9
71,Cascade Road,127,80.5,26.6,9.4,123,65.3,24.0,8.0,-2.6,-4,-15.2
73,Fulton Industrial,192,101.6,17.4,7.6,157,86.8,15.8,1.8,-1.6,-35,-14.8
74,Flat Shoals Road,67,37.2,35.2,5.4,60,58.9,40.0,2.1,4.8,-7,21.7
75,Lawrenceville Highway,47,27.5,45.2,1.6,79,74.3,30.0,0.0,-15.2,32,46.8
78,Cleveland Avenue,141,46.0,18.0,2.5,158,54.4,15.8,1.8,-2.2,17,8.4
79,Sylvan Hills,54,26.3,40.0,0.0,75,28.4,30.0,0.7,-10.0,21,2.1
81,Venetian Hills / Delowe Drive,54,40.5,45.0,0.0,58,27.2,40.0,0.0,-5.0,4,-13.3
83,Campbellton Road,182,73.9,13.7,3.5,159,65.8,15.8,2.0,2.1,-23,-8.1
84,Washington Rd/Camp Crk Marketplace,91,43.4,26.1,7.5,153,69.3,15.7,1.9,-10.4,62,25.9
85,Roswell,57,33.7,40.2,4.1,58,34.1,40.0,2.1,-0.2,1,0.4
87,Roswell Road / Sandy Springs,84,60.9,28.4,10.3,80,68.7,29.9,1.0,1.5,-4,7.8
89,Old National Highway,138,93.5,23.4,9.1,162,96.8,20.0,7.4,-3.4,24,3.3
95,Metropolitan Parkway,128,59.4,17.7,2.6,146,49.5,15.6,1.7,-2.1,18,-9.9
104,Winters Chapel Road,48,8.0,45.0,0.3,58,26.1,40.0,0.0,-5.0,10,18.1
111,Snapfinger Woods,70,71.1,36.5,7.8,58,39.8,40.1,1.9,3.6,-12,-31.3
114,Columbia Drive,60,31.8,40.0,0.6,77,77.6,30.0,0.0,-10.0,17,45.8
115,Covington Highway,98,69.3,27.1,6.0,117,100.5,20.0,1.4,-7.1,19,31.2
116,Redan Road,93,59.4,24.7,7.4,78,53.4,30.1,1.1,5.4,-15,-6.0
117,Rockbridge Road / Panola Road,96,104.1,24.6,7.7,76,46.1,31.3,3.9,6.7,-20,-58.0
119,Hairston Road / Stone Mtn Village,68,44.8,32.7,5.7,76,31.7,30.0,0.0,-2.7,8,-13.1
120,East Ponce De Leon Avenue,97,49.6,24.8,5.1,81,35.4,29.9,1.7,5.1,-16,-14.2
121,Memorial Drive / N Hairston Road,137,94.8,23.4,9.2,155,101.2,21.0,8.2,-2.4,18,6.4
125,Clarkston,72,38.1,32.6,6.1,80,71.4,30.0,0.0,-2.6,8,33.3
132,Tilly Mill Road,34,12.0,60.0,0.6,39,13.5,60.2,1.5,0.2,5,1.5
140,North Point Parkway,50,27.9,40.1,2.2,113,98.6,26.5,9.7,-13.6,63,70.7
162,Myrtle Drive / Alison Court,85,17.7,28.9,10.0,122,25.4,20.0,0.4,-8.9,37,7.7
165,Fairburn Road,97,42.9,25.6,5.1,82,83.7,30.0,1.7,4.4,-15,40.8
178,Empire Blvd / Southside Ind Park,80,25.5,29.9,1.1,78,22.7,30.0,0.2,0.1,-2,-2.8
180,Roosevelt Highway,79,49.4,30.0,0.9,78,59.4,40.0,14.3,10.0,-1,10.0
185,Alpharetta,57,43.9,39.8,4.4,58,53.9,40.1,2.9,0.3,1,10.0
189,Flat Shoals Road / Scofield Road,80,48.6,29.9,2.5,40,25.2,60.0,1.6,30.1,-40,-23.4
191,Riverdale / ATL Intl Terminal,53,64.4,45.1,1.2,53,64.4,45.1,1.2,0.0,0,0.0
192,Old Dixie / Tara Boulevard,43,38.4,54.6,7.6,44,36.0,53.8,7.9,-0.8,1,-2.4
193,Morrow / Jonesboro,78,80.0,30.0,4.1,78,75.7,30.1,3.7,0.1,0,-4.3
194,Conley Road / Mt Zion,58,48.6,40.0,1.0,58,43.7,40.0,1.7,0.0,0,-4.9
195,Forest Parkway,39,32.4,60.5,2.1,39,30.2,60.4,2.6,-0.1,0,-2.2
