date,ridership,transfers,date_dt,is_weekend
2026-04-17,4230305.0,236455.0,2026-04-17,False
2026-04-18,3093331.0,143196.0,2026-04-18,True
2026-04-19,2128506.0,95174.0,2026-04-19,True
2026-04-20,4144549.0,240126.0,2026-04-20,False
2026-04-21,4489548.0,251867.0,2026-04-21,False
2026-04-22,4533471.0,256331.0,2026-04-22,False
2026-04-23,4629223.0,257325.0,2026-04-23,False
2026-04-24,4313557.0,242739.0,2026-04-24,False
2026-04-25,2707760.0,121011.0,2026-04-25,True
2026-04-26,2367703.0,101391.0,2026-04-26,True
2026-04-27,4102204.0,238110.0,2026-04-27,False
2026-04-28,4487898.0,253588.0,2026-04-28,False
2026-04-29,4528821.0,253414.0,2026-04-29,False
2026-04-30,4506876.0,249708.0,2026-04-30,False
2026-05-01,4281875.0,234653.0,2026-05-01,False
2026-05-02,3000041.0,134793.0,2026-05-02,True
2026-05-03,2423971.0,100498.0,2026-05-03,True
2026-05-04,4144237.0,231821.0,2026-05-04,False
2026-05-05,4552972.0,250560.0,2026-05-05,False
